stream,watershed,p_forest_s,p_ag_s,p_devel_s,p_watershedn_s,p_da_s,p_mda_slope_s,p_slope_std_s,p_mda_elev_s,p_elva_std_s,fishmacros_herbivore_s,fishmacros_invertivore_s,fishmacros_omnivore_s,fishmacros_piscivore_s,fishmacros_predator_s,macrosonly_herbivore_s,macrosonly_omnivore_s,macrosonly_predator_s,fishonly_invertivore_s,fishonly_omnivore_s,fishonly_piscivore_s
Beaver,Cheat,-1.742858445183573,2.177813178722994,0.31367060997711776,-1.3262633068038785,-1.1516756113322475,-2.2112679367959225,-2.358722264500397,0.899229099326354,0.6868552487820244,1.621100808579715,-1.0149921899102439,-0.9836004572799821,-0.938798260548831,-0.5442531114553307,1.3850395686392403,-1.120422298050926,-0.6156588170044974,-0.5659692797893792,1.2592582247248578,-0.12962758967512528
Big Sandy,Cheat,-0.42671534221577184,0.7731145865463898,-0.43072125815950085,-1.3262633068038785,0.3854700009060399,-1.6397264941998642,-0.8838884218077406,0.623108774251714,0.26792529664356535,1.0294974011073346,-0.5489091624236367,-0.6404558282823676,-0.5163843712816639,-0.462546929910196,1.0274688687957056,-0.7423829445605611,-0.5342402972023531,0.46483502311970104,-0.40807997709900384,-0.11710304949397553
Buffalo,Monongahela,0.5080837334818722,-0.6588597064491775,-0.09464560461258857,0.09473309334313416,-0.2655565624915799,0.5769135595260872,-0.10503802478951033,-0.5945944220772542,-0.8029378828632668,-0.7044494238795781,0.6820851387954369,0.4661146247609928,2.136762569216263,-0.7150105420733356,-0.12120963300166068,0.9498563674452433,-0.7055624302442159,-0.40565052998575535,-0.04385952656362352,0.5754665366143659
Dry Fork,Cheat,1.1751545540458934,-1.321053109665117,-0.9458278673342073,-1.3262633068038785,2.6125711938956946,0.028579599323634967,1.7195388781001009,2.7333566187036364,2.879303336322149,1.545685920845711,-1.0522463349419924,-1.1781995860628436,-0.8814753990111216,-0.18586224046747787,1.2285066148737023,-1.2048787670998116,-0.36088050038449737,-0.056050461982013834,-1.0948334151331984,1.0701318853129982
Dunkard,Monongahela,0.21335767110788467,-0.21790254320927263,-0.27367656024038284,0.09473309334313416,0.5821080012546954,0.27157974362950654,-0.4666347694891387,-0.6109251736486216,-0.7267875430929491,0.27315293989072237,-0.576619637952231,0.42269013935761457,-0.21699854211913064,-0.22824933617274631,0.17806408506927543,0.13865257995245397,-0.3259341390173045,-0.7096734417854592,0.9075696131351848,0.0842869144004499
Elk,Monongahela,-1.236649559426727,1.2428627673174224,0.781663809776089,0.09473309334313416,-0.30239757694947234,-0.31420461482555323,0.5548203773796927,-0.5319540079820376,-0.5339894664158862,-0.8852203432449414,2.4018350661294554,-0.4014130482963385,-0.5776619518619006,-0.34759327306934873,-0.11552220170952017,0.3163045623811278,-0.14270888288028652,2.169268841953544,-0.947940150752178,-1.5281152686042656
Fish,Ohio,0.8320574203662532,-0.7422021256182317,-0.8076285331653839,1.5157294934901469,0.7220657595136214,1.032760068490669,0.09423844088980368,-0.5974358083918515,-0.4775487634857441,-1.2297089320508305,0.3911233462608717,-0.8005035766679729,-0.17784835708443317,2.74188666227462,-1.6604524456127454,-0.8131431795168556,2.631283594007438,1.101521210187117,-0.6065180911211959,-0.6583043799508494
Fishing,Ohio,1.426009179654286,-1.452885663623439,-0.9521096552509722,1.5157294934901469,0.46813827495163074,1.632546823667612,0.19065104672789834,-0.7663921036794867,-0.22131700157070947,0.5318001810018685,-0.44512099611254613,-0.9145669122642055,-0.17606372923123867,0.5019273608804885,0.5268205352553099,-1.049304333125857,0.3128945735932145,-0.4319958257407996,-0.05348895149526858,-0.047635616091989234
Horseshoe,Cheat,1.0199171624137933,-0.8800959464252123,-0.9992230646267074,-1.3262633068038785,-0.8192034374832302,1.1285075997718905,1.7096542113069708,1.3526026345135513,1.1478781717971203,-0.8737834140067833,0.18774238587986541,0.23771313960584053,2.5267048109028916,0.23742339326440867,-0.8584328715273046,0.7369075921513861,0.3463086510775907,-0.682346557290661,-0.9928159994338847,1.5769859969385458
Paw Paw,Monongahela,0.21785730564794628,0.21093208633331534,-0.04439130127847073,0.09473309334313416,-0.9245642281857649,0.2891219546085638,-0.4052588054072726,-0.6078789386270285,-0.7150994030286756,1.2494329619174205,-0.5851718895388442,-1.0446656862578958,0.26574854112202606,-0.7077866291514469,1.5178149348051337,-1.1673752081357642,-0.7277973844983859,-0.7972737553733737,-0.08696722107118819,1.0267860291872726
